B01|434,442,447,445,445,449,452,454,455,455,456,456,455,447,447,440,440,441
B02|657,655,653,646,646,646,645,644,632,625,614,611,609,578,579,574,574,574
B03|647,642,637,636,635,634,632,631,644,659,676,679,682,739,741,726,726,725
B04|403,413,421,426,429,433,435,436,431,432,427,427,428,442,442,446,447,447
B05|551,554,558,553,550,544,542,541,520,518,512,510,507,499,485,477,478,478
B06|611,614,617,627,639,653,657,661,706,714,709,715,721,669,663,673,674,674
B07|450,451,449,449,446,446,445,455,454,458,458,459,481,491,509,509,545
B08|615,617,604,608,609,613,616,613,601,567,563,560,588,619,642,642,683
B09|613,610,625,626,621,621,622,593,588,592,590,589,619,621,622,622,629
B10|360,369,382,396,413,426,439,468,489,515,521,563,584,594,595,584,580
B11|547,552,553,549,566,578,590,628,669,699,703,738,738,738,738,717,697
B12|652,652,635,631,634,632,631,652,654,657,658,666,670,674,674,705,715
B13|360,363,372,378,391,393,415,427,437,442,439,440,437,437,438,458,469
B14|457,458,472,489,509,514,546,546,556,563,540,529,512,512,512,498,506
B15|797,790,801,800,797,797,803,807,812,814,851,867,882,881,881,880,880
B16|581,574,565,560,554,544,538,531,530,526,540,548,562,562,560,621,631,643
B17|583,591,587,590,591,578,571,559,559,556,542,545,552,551,550,589,591,588
B18|1022,997,976,959,944,955,954,957,953,950,949,948,948,947,944,942,940,938
B19|431,431,429,432,435,448,458,471,476,478,526,539,555,559,559,535,537,530
B20|515,509,500,501,503,498,503,512,515,514,547,550,549,549,549,521,525,524
B21|845,848,852,853,853,854,854,855,855,856,856,857,858,858,858,858,858,858
B22|713,699,684,680,715,726,740,748,757,733,735,726,726,726,706,704,703,702
B23|385,387,387,392,414,422,428,436,443,426,430,430,431,431,410,409,409,409
B24|1065,1059,1053,1048,1044,1041,1038,1036,1034,1032,1031,1030,1029,1028,1028,1027,1027,1026
B25|710,713,712,714,704,706,702,703,703,690,688,685,683,681,699,716,716
B26|449,445,441,440,428,427,425,424,423,407,403,400,398,408,415,422,421
B27|1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092,1092
B28|754,743,736,735,727,727,728,729,731,743,758,758
B29|636,621,609,604,586,582,579,577,589,594,601,599
B30|1141,1139,1138,1137,1136,1135,1134,1134,1133,1133,1133,1132
